category,ydayday_orders,Yday_GMV,yday_revenue,Yday_Live_Product,YTDday_live_storesS,Ynew_customer,MTD_order,MTD_GMVS,MTD_revenueS,MTD_Live_Product,MTD_live_store,MTDnew_customerS,LM_order,LM_gmvS,LM_revenueS,LM_customerS,LM_live_product,LM_live_store,LMnew_customerS
Beauty & Hygiene ,1,12881,7839.7742709819413,1,1,1,1,293089,178383.0138427006,1,1,1,1,355631,255408.64694053438,1,1,1,1
Cleaning & Household ,1,19731,12008.895748835082,1,1,1,1,220787,134377.78448624251,1,1,1,1,260231,186893.85234128128,1,1,1,1
Snacks & Branded Foods ,1,44764,27244.75238461576,1,1,1,1,780778,475205.59550879116,1,1,1,1,1257478,903101.1203677106,1,1,1,1
Fruits & Vegetables ,1,32940,20048.300946055831,1,1,1,1,531874,323714.936775425,1,1,1,1,873953,627659.43694340717,1,1,1,1
Gourmet & World Food ,1,4354,2649.9788196456316,1,1,1,1,106222,64649.988557739605,1,1,1,1,87185,62614.909508761855,1,1,1,1
"Bakery, Cakes & Dairy ",1,25169,15318.630434465065,1,1,1,1,196580,119644.65695129495,1,1,1,1,384839,276385.37776501005,1,1,1,1
"Foodgrains, Oil & Masala ",1,10359,6304.80721008477,1,1,1,1,244984,149104.82571246332,1,1,1,1,399091,286620.94225797191,1,1,1,1
Beverages ,1,328,199.63092623880732,1,1,1,1,105165,64006.665725317594,1,1,1,1,122201,87762.855501292739,1,1,1,1
